title,link,no,district,area,price,amount,layout,three
卧龙花园二区,https://jn.ke.com/xiaoqu/4511059980436/,4511059980436,市中,泉景卧龙区,22557,55,4室3厅:192.46,False
阳光100国际新城F区,https://jn.ke.com/xiaoqu/4514916819103603/,4514916819103603,槐荫,阳光100区,16847,143,2室2厅:108.69,False
财富壹号,https://jn.ke.com/xiaoqu/458959729610170/,458959729610170,槐荫,段店,16610,17,3室2厅:106.75,True
万盛新区,https://jn.ke.com/xiaoqu/457666751254473/,457666751254473,天桥,堤口路,13458,55,2室2厅:82.5,False
大尧风华盛景,https://jn.ke.com/xiaoqu/456946608918917/,456946608918917,槐荫,西客站,13043,16,3室2厅:109.01,True
连城水岸,https://jn.ke.com/xiaoqu/4511059942993/,4511059942993,槐荫,段店,14618,68,3室1厅:104.67,True
阳光100国际新城T区,https://jn.ke.com/xiaoqu/4514916683599716/,4514916683599716,槐荫,阳光100区,15524,163,1室1厅:45.78,False
中润世纪广场,https://jn.ke.com/xiaoqu/457824920554928/,457824920554928,历下,姚家,22213,45,3室2厅:159.97,True
名士豪庭3区,https://jn.ke.com/xiaoqu/4511058344014/,4511058344014,历下,浆水泉区,25106,17,2室2厅:90.78,False
阳光舜城中区十三区,https://jn.ke.com/xiaoqu/4511060038775/,4511060038775,市中,阳光舜城,16053,60,3室2厅:138.91,True
兴业嘉苑新天地,https://jn.ke.com/xiaoqu/4511058218524/,4511058218524,历城,七里河,15296,45,3室2厅:163.55,True
荣盛花语馨苑,https://jn.ke.com/xiaoqu/458960008008029/,458960008008029,天桥,药山,13463,74,2室2厅:74.53,False
龙山希思庄园,https://jn.ke.com/xiaoqu/456946024861386/,456946024861386,历城,经十东路,13050,82,2室1厅:88.49,False
三箭豫林嘉园,https://jn.ke.com/xiaoqu/4511059519732/,4511059519732,历下,旅游路,31588,4,3室2厅:141.59,True
工人新村南村东区,https://jn.ke.com/xiaoqu/4511058557021/,4511058557021,天桥,长途汽车站,14553,133,3室1厅:59.2,True
香港国际,https://jn.ke.com/xiaoqu/4511057989764/,4511057989764,天桥,匡山区,10500,84,2室1厅:78.59,False
正大城市花园翠苑,https://jn.ke.com/xiaoqu/4511058353377/,4511058353377,历下,燕山,22350,18,2室1厅:81.9,False
万科金色悦城新著,https://jn.ke.com/xiaoqu/456944473493306/,456944473493306,天桥,药山,13463,31,3室2厅:96,True
广厦聚隆广场,https://jn.ke.com/xiaoqu/456963016773522/,456963016773522,历城,山大路,16561,145,2室1厅:58.9,False
title,link,no,district,area,price,amount,layout,three
拉菲公馆（百融名苑）,https://jn.ke.com/xiaoqu/458957377130043/,458957377130043,历下,银座花园,21130,73,1室1厅:37,False
鑫苑城市之家,https://jn.ke.com/xiaoqu/4511059910688/,4511059910688,槐荫,中大槐树,15820,53,4室1厅:70.73,False
王官庄小区三区,https://jn.ke.com/xiaoqu/4511059961226/,4511059961226,市中,王官庄,13615,80,3室1厅:93.2,True
春天花园,https://jn.ke.com/xiaoqu/4511057851856/,4511057851856,历下,花园路,21446,35,2室1厅:95.57,False
历东花园,https://jn.ke.com/xiaoqu/4511057897910/,4511057897910,历下,历东,26514,17,4室2厅:190.47,False
龙腾国际花园,https://jn.ke.com/xiaoqu/456946183197427/,456946183197427,槐荫,匡山区,14239,24,3室2厅:164.03,True
